average_gas_used,average_value_sent,days_active,days_since_last_transactions,from,transaction_count,unique_address,value_sent,wallet_age_days
1.1681704990076803e-13,2.611851869684021e-05,26,5,0x9261e19c2d5f9b2e9e54b2e54d7d2aa60d7f31f1,312401,4368,8.159451359411579,4
1.0941412341729026e-13,0.0,31,0,0x1e29f6cbb8089a56eeb0eabe783011c2556c804b,182673,3,0.0,4
3.4968580133790107e-13,0.047235820405347864,31,0,0xfc3e31519b551bd594235dd0ef014375a87c4e21,79215,4,3741.785513409631,4
3.4968641526951635e-13,0.026866364493925342,31,0,0xee11d2016e9f2fae606b2f12986811f4abbe6215,79204,3,2127.923533376863,4
3.5033277418833066e-13,0.0259396645861792,31,0,0xd11d9842babd5209b9b1155e46f5878c989125b7,79057,3,2050.712063189569,4
3.4979263371358244e-13,0.026599102632751538,31,0,0xec702628f44c31acc56c3a59555be47e1f16eb1e,79001,3,2101.355707090004,4
3.505863234904182e-13,0.0272883416627239,31,0,0x32d619dc6188409cebbc52f921ab306f07db085b,78908,3,2153.2684639222175,4
3.5040210789478994e-13,0.026571789972924763,31,0,0x8eec4f1c0878f73e8e09c1be78ac1465cc16544d,78901,4,2096.540800653737,4
3.510415838139928e-13,0.026382417876063782,31,0,0xf41af21f0a800dc4d86efb14ad46cfb9884fdf38,78847,3,2080.174502274001,4
3.501747734298395e-13,0.02601853076346004,31,0,0x6e46924371d0e910769aabe0d867590deac20684,78841,3,2051.326983921953,4
3.50758881411074e-13,0.02612776668272888,31,0,0x210744c64eea863cf0f972e5aebc683b98fb1984,78810,3,2059.129292265863,4
3.50730144065193e-13,0.025516966557759594,31,0,0x9b959d27840a31988410ee69991bcf0110d61f02,78763,3,2009.7928369888189,4
3.3532965955746285e-13,0.026365941405299596,31,0,0x52349003240770727900b06a3b3a90f5c0219ade,73425,3,1935.9192476841229,4
3.5125460301070476e-13,0.024932866347168015,29,0,0xe07d7e56588a6fd860c5073c70a099658c060f3d,72211,2,1800.4272117953494,4
3.5062092367453354e-13,0.024693238894844195,31,0,0x6aaabf51c5f6d2d93212cf7dad73d67afa0148d0,67553,3,1668.10236706341,4
3.507994378276147e-13,0.010389419238536415,31,0,0x05ad3ded6fcc510324af8e2631717af6da5c8b5b,67490,3,701.1819044088227,4
3.5093739825445946e-13,0.027109147216433566,31,0,0xedcafc4ad8097c2012980a2a7087d74b86bddaf9,65890,3,1786.2217100908076,4
3.503523147584616e-13,0.025890581315766988,31,0,0x829dbdfeb7b74bb1e2625ee8c0f8d5413b320c53,65304,3,1690.7585222448474,4
3.4939137483169437e-13,0.02435867025141871,31,0,0x16c3557646628bbe29ffcf021c17c7f375b98e81,64693,3,1575.8354545750308,4
3.504808386355962e-13,0.026238112694904534,31,0,0x61089875ff9e506ae78c7fe9f7c388416520e386,64624,3,1695.6117947955106,4
3.496922917572178e-13,0.026528884121908153,31,0,0xaab072bacac198f18c1f0ea57e6713ea1efc077b,61983,3,1644.339824528233,4
3.503724442126592e-13,0.027940969386434658,31,0,0xbeef86b900b6b791d1cc7746ce030aa8d4e4cafe,61412,3,1715.9108119597252,4
3.4997662969100457e-13,0.025757336346714683,31,0,0xae53daac1bf3c4633d4921b8c3f8d579e757f5bc,57155,3,1472.1605588964778,4
3.5049408939268733e-13,0.025731942337909357,31,0,0x56f2b69d8f20568f69eb4107733a1a2ce7bbc0bc,55161,3,1419.399671301418,4
3.4950406558237e-13,0.02600637517957103,31,0,0x2bddcaae1c6ccd53e436179b3fc07307ee6f3ef8,41322,3,1074.6354351702341,4
1.5153266356934118e-13,0.05096919567375315,31,0,0x4e7ea047ec7e95c7a02cb117128b94ccdd8356bf,36697,3,1870.4165736397194,4
4.5812608122249585e-14,0.001957587755965764,31,0,0x8fa335ee8e81704593176b70336d6e9db03fe62f,36320,2610,71.09958729667656,4
5.318164320999611e-14,0.018398433079640085,31,0,0xa87d44fb73234e3215e62c41978c0c68b9dbad8a,36237,1217,666.7040195069178,4
3.071326273608221e-14,0.003767703731533248,30,0,0xb798868a6b74b8f439e9ebd062198eccfe08546e,33939,781,127.87209694450691,4
7.526386824558463e-14,0.0,31,0,0xc5ce81f79c239fe353a00d4b297870a3602be95e,30147,4,0.0,4
3.5031890336418327e-13,0.0269216901818967,31,0,0x749f36cc1daeec1bced9f1f182c92851727d1e73,29130,3,784.2288349986509,4
4.4988314661561695e-14,0.17942085896974147,25,1,0x3483c19f2b492f50bd1d75f1950b475cc89ee7d7,27671,1192,4964.754588551717,4
7.785001153645233e-14,0.0007780902892639131,6,0,0xfa8834c68e20dc946b308f037b091eaad1ce1031,26438,10902,20.571151067559335,29
3.3703739861778196e-14,0.0043213060227352785,29,0,0xeba82969c383abd950604e0e5642b6b35d751500,26336,1688,113.8059154147563,4
1.5870628724140212e-13,2071.907125031472,31,0,0x920c267ed50fd5e5e79d68130e39bceb2541a994,26006,13,53882016.69356846,4
3.7024025531227344e-14,0.0024383952159943495,11,15,0xba103017b27e458ca37c23af09e90debb1c8c7a3,24754,2862,60.360035176724125,9
3.290671588907253e-14,0.08385177505006569,31,0,0x04311e563e3048f18d464ea7c320047353fb4528,24413,767,2047.0733842972536,4
5.559970394088806e-14,0.0014844006568144501,20,10,0x373eb5db9fa7663a4ca0729d336450a12814b879,24360,5,36.160000000000004,4
9.255018219758417e-13,0.005269131706465272,26,0,0x1d5e0b8e2f8d65be078a9c1353d86ea2f210ed56,22907,12,120.7,8
2.8682656831815466e-14,2766.426647094597,31,0,0xb32e9a84ae0b55b8ab715e4ac793a61b277bafa3,22505,6393,62258431.6928639,4
3.7412175453634534e-14,0.011102308913621796,25,0,0x8b1ce6937f1381662286e146b95b66a32a886c9f,22154,711,245.96055167237728,4
3.635771189557343e-13,0.0,31,0,0x1bb730c6e0cdf9ba55046864e176f71189c96880,22025,1,0.0,4
