average_gas_used,average_value_sent,days_active,days_since_last_transactions,from,transaction_count,unique_address,value_sent,wallet_age_days,cluster,agg_cluster_labels,dbscan_cluster,mb_kmeans_cluster,churn_risk,user_tier,engagement_diversity
300148.6045736424,0.3494504962576656,31,0,0x84f877603fde9af5a08494526b4718c7fac5afda,12900,40,4507.911401723886,3,2.0,3,-1,1,Low Risk,Power User,Moderate Diversity
70140.07698014213,0.0,6,2,0xf390c332106cfbcdc6c3ba9933ff01513e3bde9e,12133,2,0.0,16,2.0,3,-1,4,Low Risk,Casual,Single Game
425810.78732122714,0.0,31,0,0xc4d26c6e040d7cf30df4a97659b87dc5028dbf5b,11957,3,0.0,3,2.0,3,-1,1,Low Risk,Casual,Single Game
66113.32956447879,1.4661734090698293e-05,31,0,0x5553eb65500ba2d7d16d3b7628518290a34860e7,11940,3,0.1750611050429376,3,2.0,3,-1,1,Low Risk,Casual,Single Game
77016.97124769627,0.0,27,0,0xe500e441df4b3331884e8c8021093b00d264c3c9,11373,2,0.0,5,2.0,3,-1,1,Low Risk,Casual,Single Game
52037.42855778687,0.0001243197230181,23,0,0xf52cedf3afdcabcb4cd4c51ccd94ae05990b49ca,10470,16,1.3016275,11,2.0,3,-1,4,Low Risk,Casual,Moderate Diversity
67706.29479350148,0.0,16,0,0x90a0ad795a9d18caafc515649e34fee683d6d392,9661,1,0.0,18,2.0,3,-1,4,Low Risk,Casual,Single Game
67706.25859213427,0.0,16,0,0xca59f1e3c233d011e37f1168a4e6aa77faa005a8,9660,1,0.0,18,2.0,3,-1,4,Low Risk,Casual,Single Game
67708.0685826953,0.0012619433186765,17,0,0x677551a5870d7a7f8915ef6dc24a3b0e4b2f1c5b,9638,2,12.162609705404249,14,2.0,3,-1,4,Low Risk,Casual,Single Game
89610.15200913267,0.0052587308391008,31,0,0x4a1f7fabef0ca332632dabd1c3604dba0a62b6b2,9631,6,50.64683671138029,3,2.0,3,-1,1,Low Risk,Casual,Low Diversity
67736.09460359925,0.0,16,15,0x5c7372c1653d3faadf2a68b307b5690b76d479e4,9006,3,0.0,3,2.0,3,-1,3,High Risk,Casual,Single Game
150360.60915454006,0.0,31,0,0x67c70f4f3adc9776b6c5beaf49b2776a37dc9b03,9001,1,0.0,3,2.0,3,-1,1,Low Risk,Casual,Single Game
35689.20060047059,0.5129616409336107,29,0,0x2a38956ff4645ff5b58d1ebc0a48db63f1ff2490,8993,219,4613.064036915961,3,2.0,4,-1,0,Low Risk,Power User,High Diversity
67768.8488753529,0.0,16,15,0xa7ca7cb79b446946aa08ab4ecaa2ff22556da460,8536,3,0.0,3,2.0,3,-1,3,High Risk,Casual,Single Game
67793.42741935585,0.0008756829266092,16,15,0xb69ab7a2f7f1aa6540d2b5ee49c23df51592630d,8060,3,7.058004388470951,3,2.0,3,-1,3,High Risk,Casual,Single Game
27874.657193157775,0.00430060693665,29,0,0x10e25343548deb4aec9f7d299acfeb0a5d58e99e,7952,305,34.19842636024132,4,2.0,4,-1,0,Low Risk,Casual,High Diversity
21032.981199052625,0.0028828434841248,25,2,0x3dfac4258cc3dfb68fab4e2a203309013b0afd49,7606,305,21.926907540253776,4,2.0,4,-1,0,Low Risk,Casual,High Diversity
80106.2555555548,0.0002726389053813,29,0,0xf9e052209adb704d5c32e5e5b5935d6c75647dbe,6930,5,1.8893876142928976,3,2.0,3,0,1,Low Risk,Casual,Single Game
33210.468479999385,0.0076496061048012,21,4,0xed2ddb1e6f371dd1842fd0e9a7f3397de7ac3ce7,6250,346,47.81003815500796,4,2.0,4,-1,0,Medium Risk,Casual,High Diversity
34983.39647435811,0.0127840971456938,17,0,0x79ebd06718088e3b8de6aab46053083768d5dfea,6240,304,79.77276618912974,4,2.0,4,-1,0,Low Risk,Casual,High Diversity
358671.54745110695,0.0019183050602751,31,0,0xf6fa1ac1a21fbe6ee57d1b893e4d488850cfa9ce,6238,2,11.96638696599617,3,2.0,3,0,1,Low Risk,Casual,Single Game
359998.8861814695,0.0019055819078447,31,0,0xcad3f59d0fa4da05e15202b4d69884453180dde6,6238,2,11.887019941135613,3,2.0,3,0,1,Low Risk,Casual,Single Game
361616.0517794176,0.0019465770129218,31,0,0x222a572019f4ff30e2764ba4e2aa9d6c621f2947,6238,2,12.14274740660635,3,2.0,3,0,1,Low Risk,Casual,Single Game
356565.1017954475,0.0018946961701437,31,0,0x06cef7413526b3023c0b2a6c4e4caa3612e9ac16,6238,2,11.819114709356803,3,2.0,3,0,1,Low Risk,Casual,Single Game
363395.5760782444,0.0019543880126568,31,0,0x21ccf40ea65cc5342ec3eefdc4897bc958f4685c,6237,2,12.189518034940669,3,2.0,3,0,1,Low Risk,Casual,Single Game
